display,MULTA,OBRIGACAO,RECOMENDACAO,RESSARCIMENTO
BERTimbau-base,0.7835616438356164,0.6736842105263159,0.3225806451612903,0.5405405405405406
BERTimbau-large,0.7177914110429446,0.6451612903225806,0.20338983050847456,0.3448275862068966
BiLSTM-CRF,0.6534090909090909,0.6886792452830189,0.2465753424657534,0.4130434782608695
DeepSeek-V4-Flash,0.8160377358490566,0.7007874015748031,0.6618705035971223,0.7438016528925621
GPT-4.1,0.7894736842105263,0.6363636363636364,0.6620689655172414,0.7368421052631577
GPT-4.1-mini,0.7735042735042735,0.5747800586510264,0.6301369863013699,0.7187500000000001
GPT-4.1-nano,0.6528735632183909,0.31527093596059114,0.1016949152542373,0.5072463768115943
GPT-5-mini,0.6820083682008369,0.22311557788944722,0.5859872611464968,0.6056338028169014
GPT-5.1,0.76,0.5833333333333335,0.6382978723404256,0.7164179104477612
GPT-5.2,0.7370600414078675,0.4742268041237113,0.5255474452554745,0.6040268456375839
Legal-BERTimbau-base,0.7548209366391183,0.6242774566473989,0.07272727272727272,0.1714285714285714
Llama-3.3-70B,0.4013840830449827,0.3689320388349515,0.2926829268292683,0.03076923076923077
Qwen2.5-72B,0.7528344671201814,0.5116279069767442,0.37037037037037035,0.6764705882352942
